     sec               kgf         kgf/mm2              mm               %          Spare1          Spare2
==========================================================================================================
   1.530	     0.690	     0.097	     5.578	    22.310	   0.00000	   0.00000
   1.535	     0.691	     0.098	     5.590	    22.360	   0.00000	   0.00000
   1.540	     0.692	     0.098	     5.603	    22.410	   0.00000	   0.00000
   1.545	     0.693	     0.098	     5.615	    22.461	   0.00000	   0.00000
   1.550	     0.695	     0.098	     5.665	    22.661	   0.00000	   0.00000
   1.555	     0.696	     0.098	     5.690	    22.761	   0.00000	   0.00000
   1.560	     0.698	     0.098	     5.703	    22.812	   0.00000	   0.00000
   1.565	     0.700	     0.099	     5.715	    22.862	   0.00000	   0.00000
   1.585	     0.705	     0.099	     5.816	    23.263	   0.00000	   0.00000
   1.605	     0.710	     0.100	     5.866	    23.463	   0.00000	   0.00000
   1.625	     0.715	     0.101	     5.966	    23.864	   0.00000	   0.00000
   1.630	     0.716	     0.101	     6.041	    24.165	   0.00000	   0.00000
   1.635	     0.718	     0.101	     6.054	    24.215	   0.00000	   0.00000
   1.640	     0.719	     0.101	     6.066	    24.266	   0.00000	   0.00000
   1.645	     0.720	     0.102	     6.091	    24.366	   0.00000	   0.00000
   1.650	     0.722	     0.102	     6.117	    24.466	   0.00000	   0.00000
   1.655	     0.723	     0.102	     6.142	    24.566	   0.00000	   0.00000
   1.660	     0.724	     0.102	     6.154	    24.616	   0.00000	   0.00000
   1.665	     0.725	     0.102	     6.167	    24.667	   0.00000	   0.00000
   1.670	     0.727	     0.103	     6.204	    24.817	   0.00000	   0.00000
   1.675	     0.728	     0.103	     6.217	    24.867	   0.00000	   0.00000
   1.680	     0.729	     0.103	     6.267	    25.068	   0.00000	   0.00000
   1.685	     0.730	     0.103	     6.279	    25.118	   0.00000	   0.00000
   1.705	     0.736	     0.104	     6.342	    25.368	   0.00000	   0.00000
   1.725	     0.741	     0.105	     6.417	    25.669	   0.00000	   0.00000
   1.745	     0.746	     0.105	     6.493	    25.970	   0.00000	   0.00000
   1.755	     0.748	     0.106	     6.543	    26.171	   0.00000	   0.00000
   1.760	     0.749	     0.106	     6.555	    26.221	   0.00000	   0.00000
   1.765	     0.750	     0.106	     6.568	    26.271	   0.00000	   0.00000
   1.770	     0.752	     0.106	     6.593	    26.371	   0.00000	   0.00000
   1.775	     0.753	     0.106	     6.618	    26.471	   0.00000	   0.00000
   1.780	     0.754	     0.106	     6.643	    26.572	   0.00000	   0.00000
   1.785	     0.756	     0.107	     6.643	    26.572	   0.00000	   0.00000
   1.790	     0.758	     0.107	     6.681	    26.722	   0.00000	   0.00000
   1.795	     0.759	     0.107	     6.693	    26.772	   0.00000	   0.00000
   1.800	     0.760	     0.107	     6.718	    26.873	   0.00000	   0.00000
   1.805	     0.761	     0.107	     6.731	    26.923	   0.00000	   0.00000
   1.810	     0.763	     0.108	     6.768	    27.073	   0.00000	   0.00000
   1.825	     0.767	     0.108	     6.793	    27.173	   0.00000	   0.00000
   1.845	     0.772	     0.109	     6.894	    27.574	   0.00000	   0.00000
   1.865	     0.777	     0.110	     6.994	    27.976	   0.00000	   0.00000
   1.880	     0.780	     0.110	     7.069	    28.276	   0.00000	   0.00000
   1.885	     0.781	     0.110	     7.094	    28.377	   0.00000	   0.00000
   1.890	     0.783	     0.111	     7.132	    28.527	   0.00000	   0.00000
   1.895	     0.784	     0.111	     7.144	    28.577	   0.00000	   0.00000
   1.900	     0.785	     0.111	     7.169	    28.677	   0.00000	   0.00000
   1.905	     0.786	     0.111	     7.182	    28.728	   0.00000	   0.00000
   1.910	     0.788	     0.111	     7.219	    28.878	   0.00000	   0.00000
   1.915	     0.789	     0.111	     7.232	    28.928	   0.00000	   0.00000
   1.920	     0.790	     0.111	     7.245	    28.978	   0.00000	   0.00000
   1.925	     0.791	     0.112	     7.257	    29.028	   0.00000	   0.00000
   1.930	     0.793	     0.112	     7.295	    29.179	   0.00000	   0.00000
